total_timesteps,policy_entropy,value_loss,explained_variance,fps,nupdates,ep_len_mean,ep_reward_mean
770000,6.737159729003906,495923.71875,1.7881393432617188e-07,293,22000,1000.0,39749.884232159995
773500,6.721571922302246,9449.5888671875,5.4836273193359375e-06,294,22100,1000.0,39749.884232159995
777000,6.694426536560059,388333.9375,1.3709068298339844e-06,293,22200,1000.0,43611.723633830006
780500,6.662707328796387,110340.65625,-9.5367431640625e-07,294,22300,1000.0,43611.723633830006
784000,6.61325740814209,472085.15625,-1.1920928955078125e-06,293,22400,1000.0,48133.28515671
787500,6.558872699737549,103329.9609375,1.430511474609375e-06,294,22500,1000.0,48133.28515671
791000,6.5399603843688965,375297.8125,2.2649765014648438e-06,293,22600,1000.0,51658.54521419001
794500,6.523283958435059,70244.484375,2.682209014892578e-06,294,22700,1000.0,51658.54521419001
798000,6.466335296630859,564240.4375,-2.1457672119140625e-06,293,22800,1000.0,55552.880056559996
801500,6.424481391906738,41555.85546875,-1.6689300537109375e-06,294,22900,1000.0,55552.880056559996
805000,6.405506134033203,569595.0625,3.039836883544922e-06,293,23000,1000.0,57849.497180289996
808500,6.359643459320068,92445.984375,8.344650268554688e-07,294,23100,1000.0,57849.497180289996
812000,6.3124613761901855,540308.8125,2.980232238769531e-07,293,23200,1000.0,60827.40406753999
815500,6.292049407958984,4956.3525390625,8.344650268554688e-07,294,23300,1000.0,60827.40406753999
819000,6.271953582763672,371467.1875,-7.152557373046875e-07,293,23400,1000.0,61362.110220209994
822500,6.294999599456787,104491.5390625,1.1324882507324219e-06,294,23500,1000.0,61362.110220209994
826000,6.299069881439209,398526.5625,-1.5497207641601562e-06,293,23600,1000.0,63963.05646803
829500,6.268147945404053,35409.01171875,-1.430511474609375e-06,294,23700,1000.0,63963.05646803
833000,6.293037414550781,834339.6875,4.112720489501953e-06,293,23800,1000.0,65893.09679718
836500,6.283886432647705,15629.626953125,-8.106231689453125e-06,294,23900,1000.0,65893.09679718
840000,6.263554096221924,493636.75,-1.430511474609375e-06,293,24000,1000.0,65335.41513412
843500,6.258557319641113,52331.15625,-7.510185241699219e-06,294,24100,1000.0,65335.41513412
847000,6.237176418304443,853008.8125,-2.7060508728027344e-05,293,24200,1000.0,65361.70255107
850500,6.22405481338501,25.447568893432617,-0.00022661685943603516,294,24300,1000.0,65361.70255107
854000,6.227025032043457,892428.5,-1.609325408935547e-05,293,24400,1000.0,62775.72415485
857500,6.219507217407227,49.74318313598633,-2.371454954147339,293,24500,1000.0,62775.72415485
861000,6.211551189422607,940950.875,-0.0012651681900024414,293,24600,1000.0,59004.15783760999
864500,6.199837684631348,35535.11328125,-7.605552673339844e-05,293,24700,1000.0,59004.15783760999
868000,6.186549186706543,752894.875,-95.94466400146484,293,24800,1000.0,55744.575169129996
871500,6.179126739501953,236.0044403076172,0.9925316208973527,293,24900,1000.0,55744.575169129996
875000,6.149200439453125,918951.8125,-0.00029337406158447266,293,25000,1000.0,51844.64551377
878500,6.152825832366943,298.06671142578125,-0.011125564575195312,293,25100,1000.0,51844.64551377
882000,6.132942199707031,918628.6875,-0.004791975021362305,293,25200,1000.0,47680.51344043
885500,6.099869728088379,68.38333129882812,0.02622002363204956,293,25300,1000.0,47680.51344043
889000,6.052788734436035,917899.625,-0.001700758934020996,293,25400,1000.0,43873.27679486
