nupdates,value_loss,explained_variance,policy_loss,total_timesteps,fps,policy_entropy,ep_reward_mean,ep_len_mean
25400,0.035037022083997726,-0.009828329086303711,0.3191365599632263,838167,203,2.80100154876709,26892.380228269998,1000.0
25500,237.21585083007812,0.0050463080406188965,-0.6384183764457703,841467,202,2.79227614402771,27107.078245830002,1000.0
25600,0.02234259992837906,-0.003688216209411621,-0.6812958121299744,844767,202,2.7823667526245117,27148.32686666,1000.0
25700,0.43826740980148315,-0.0006899833679199219,0.2921377122402191,848067,203,2.7721362113952637,27263.741047709995,1000.0
25800,0.24956157803535461,-0.0043375492095947266,0.09039871394634247,851367,203,2.7634775638580322,27397.16684475,1000.0
25900,0.021466679871082306,-0.023215293884277344,-0.2511756718158722,854667,203,2.7555925846099854,27473.811501360004,1000.0
26000,226.01998901367188,0.0070021748542785645,0.14191412925720215,857967,203,2.747574806213379,27638.34751677999,1000.0
26100,0.17777438461780548,0.0018867254257202148,-0.17205354571342468,861267,203,2.742769718170166,27787.651322029993,1000.0
26200,0.16966506838798523,0.0025557279586791992,0.1543007642030716,864567,203,2.7350831031799316,27904.594693559993,1000.0
26300,0.019397491589188576,0.021996676921844482,-0.3774136006832123,867867,203,2.7309727668762207,27971.3815014,1000.0
26400,0.20232732594013214,0.0019754767417907715,0.07145725935697556,871167,203,2.7275805473327637,28052.328870370005,1000.0
