nupdates,policy_entropy,fps,total_timesteps,value_loss,explained_variance,ep_len_mean,ep_reward_mean
36200,35.8790397644043,301,1267000,26455.052734375,-0.006134510040283203,1000.0,1648.48131018
36300,35.90962600708008,301,1270500,0.0670725554227829,-0.05052077770233154,1000.0,1648.48131018
36400,36.0001106262207,301,1274000,26681.00390625,-0.012221455574035645,1000.0,1648.55368439
36500,36.07040023803711,301,1277500,0.0217206422239542,0.19616305828094482,1000.0,1648.55368439
36600,36.149444580078125,301,1281000,26680.33984375,0.00013309717178344727,1000.0,1648.58249797
36700,36.21241760253906,301,1284500,0.009978153742849827,0.058914780616760254,1000.0,1648.58249797
36800,36.33279037475586,301,1288000,26732.388671875,0.0030750632286071777,1000.0,1649.1019026499998
36900,36.344757080078125,301,1291500,0.021346615627408028,0.6724315285682678,1000.0,1649.1019026499998
37000,36.44486999511719,301,1295000,26705.599609375,0.0011348724365234375,1000.0,1648.0614290300002
37100,36.49979782104492,301,1298500,0.011936505325138569,0.04086369276046753,1000.0,1648.0614290300002
37200,36.60188293457031,301,1302000,26546.85546875,0.006072580814361572,1000.0,1647.6458785700001
37300,36.61470031738281,301,1305500,0.011253382079303265,-0.000789642333984375,1000.0,1647.6458785700001
37400,36.655338287353516,301,1309000,26646.712890625,0.0036431550979614258,1000.0,1648.20408396
37500,36.72246170043945,302,1312500,0.026151467114686966,-0.0953366756439209,1000.0,1648.20408396
37600,36.77616882324219,301,1316000,26731.89453125,-0.004605650901794434,1000.0,1649.3598732999997
37700,36.80384063720703,302,1319500,0.004260152578353882,-0.12488937377929688,1000.0,1649.3598732999997
37800,36.896766662597656,301,1323000,26658.671875,0.0033606886863708496,1000.0,1649.9683681400004
37900,36.97801208496094,302,1326500,0.032084111124277115,0.4608369469642639,1000.0,1649.9683681400004
38000,37.036346435546875,302,1330000,26598.6953125,-0.006923794746398926,1000.0,1649.16999198
38100,37.073020935058594,302,1333500,0.01536007970571518,0.6991158127784729,1000.0,1649.16999198
38200,37.137359619140625,302,1337000,26634.669921875,-0.0052841901779174805,1000.0,1648.72513833
38300,37.186161041259766,302,1340500,0.030679304152727127,-0.02099132537841797,1000.0,1648.72513833
38400,37.28109359741211,302,1344000,26769.82421875,-0.0026274919509887695,1000.0,1649.04268904
38500,37.35691833496094,302,1347500,0.028565697371959686,-0.16879522800445557,1000.0,1649.04268904
38600,37.42243194580078,302,1351000,26749.30078125,-0.0037610530853271484,1000.0,1649.4131918899998
38700,37.49890899658203,302,1354500,0.013341378420591354,0.08924734592437744,1000.0,1649.4131918899998
38800,37.601348876953125,302,1358000,26667.263671875,-0.00017344951629638672,1000.0,1649.7510151800004
38900,37.67359924316406,302,1361500,0.1054268479347229,0.6218796372413635,1000.0,1649.7510151800004
39000,37.75557327270508,302,1365000,26663.927734375,0.00535351037979126,1000.0,1650.06002204
39100,37.827205657958984,302,1368500,0.00841688271611929,0.08677345514297485,1000.0,1650.06002204
39200,37.93912124633789,302,1372000,26655.826171875,0.0008463859558105469,1000.0,1650.2221695099995
39300,37.986671447753906,302,1375500,0.02710619568824768,-0.33097290992736816,1000.0,1650.2221695099995
39400,38.04389190673828,302,1379000,26650.4375,0.000889897346496582,1000.0,1650.06909086
